age, workclass, education-num, marital-status, occupation, relationship, race, sex, hours-per-week, native-country,earns
40,6,10,0,5,2,1,1,37,11,0
33,2,9,0,1,2,1,1,50,11,1
37,6,10,0,5,2,1,1,40,11,1
34,6,14,1,0,0,1,1,40,11,0
56,2,10,0,0,2,1,1,40,11,1
37,6,13,2,0,5,1,0,55,11,0
44,6,9,4,1,3,0,0,40,11,0
54,6,9,4,9,5,1,1,45,11,0
23,6,9,1,5,5,1,1,50,11,0
22,6,9,1,10,5,1,0,45,11,0
33,6,13,0,0,2,1,1,40,11,1
39,6,13,6,3,5,1,1,50,11,1
47,6,10,4,4,5,0,0,37,11,0
26,6,9,1,3,3,0,0,55,11,0
31,6,10,4,0,3,1,0,40,11,0
44,6,10,1,11,5,1,1,45,11,0
42,2,15,0,3,4,1,0,50,11,1
19,6,9,1,5,5,1,0,40,11,0
27,6,9,0,9,2,1,1,40,11,1
51,3,10,0,7,2,1,1,40,11,1
28,2,13,0,0,2,1,1,50,11,0
57,6,13,4,6,5,1,1,45,11,0
45,3,13,4,3,3,1,0,40,11,0
50,6,11,0,3,2,1,1,40,11,1
34,2,13,0,1,2,1,1,54,11,0
45,6,4,0,6,2,0,1,40,11,0
73,3,9,0,0,2,1,1,20,11,0
34,6,13,0,3,4,1,0,50,11,1
31,6,10,0,1,2,1,1,55,11,1
19,6,7,1,1,5,1,1,12,11,0
25,6,10,1,10,0,1,0,50,11,0
38,1,11,4,6,3,1,0,40,11,0
39,6,13,0,11,2,1,1,40,11,0
23,6,13,1,2,0,0,0,32,11,0
49,6,9,0,5,2,1,1,40,11,0
33,1,9,1,10,5,1,1,32,11,0
21,6,3,1,5,1,1,1,38,9,0
31,6,11,6,6,5,1,1,40,11,0
23,6,13,1,0,5,1,0,45,11,0
34,6,13,0,4,2,2,1,40,30,0
25,6,9,1,5,5,2,0,40,30,0
39,6,9,1,6,3,1,1,40,11,0
52,2,9,0,1,2,1,1,40,11,1
63,3,5,0,11,2,1,1,40,11,1
41,6,10,0,6,2,1,1,40,11,0
46,6,13,0,3,2,1,1,38,11,1
53,3,9,0,0,2,1,1,40,11,0
18,6,8,1,8,0,1,1,40,11,0
38,6,15,0,3,2,1,1,50,11,0
55,6,14,1,0,3,2,0,50,34,0
34,6,9,0,2,2,1,1,40,11,1
80,4,9,0,10,2,1,1,30,11,0
34,6,11,4,2,3,1,0,60,11,0
52,6,10,0,2,2,1,1,40,11,0
42,6,9,1,10,3,0,0,28,26,0
26,6,10,1,1,5,1,0,40,11,0
31,6,9,0,11,2,1,1,40,11,0
25,3,9,1,10,0,1,0,35,11,0
55,4,9,0,6,2,1,1,60,11,0
19,6,10,1,10,0,1,0,12,11,0
62,4,10,0,11,2,1,1,32,11,0
22,1,10,1,4,0,1,0,20,11,0
35,6,9,0,9,2,1,1,40,11,0
28,6,9,0,1,0,1,0,40,11,0
47,6,9,0,11,2,1,1,70,11,1
44,0,9,0,5,2,1,1,40,11,0
21,6,10,1,1,0,1,1,15,11,0
35,6,11,1,6,5,1,1,50,11,0
24,6,13,0,3,2,1,1,40,11,1
28,6,13,1,2,0,1,1,50,11,0
21,6,10,1,5,1,1,1,35,11,0
62,1,10,4,2,5,0,1,40,11,0
39,6,9,1,10,5,0,0,40,11,0
30,0,9,1,10,5,1,1,40,11,0
72,4,15,1,3,5,1,1,20,11,0
50,6,10,0,0,4,1,0,50,11,0
28,3,14,1,3,5,1,1,40,11,0
29,6,10,1,3,5,1,0,40,11,0
26,6,13,1,4,0,1,0,40,11,0
27,6,14,1,0,5,1,0,40,11,0
29,6,10,0,9,2,1,1,40,11,1
29,6,6,0,6,2,1,1,25,11,0
31,6,7,0,1,4,1,0,20,11,0
25,6,9,0,0,2,1,1,75,11,0
58,6,6,0,11,2,1,1,40,11,1
64,6,10,0,0,4,1,0,40,11,1
46,0,14,1,0,5,1,1,38,11,0
19,6,9,1,10,0,4,0,35,11,0
42,6,9,4,10,5,0,1,52,11,0
18,6,7,1,9,0,1,1,24,11,0
58,2,13,0,6,2,1,1,50,11,1
20,6,10,1,7,5,0,1,60,11,0
35,1,9,0,6,2,1,1,40,11,1
32,6,9,0,9,2,1,1,38,11,1
23,6,9,1,9,5,1,0,25,11,0
31,6,10,4,2,3,1,0,40,11,0
33,6,13,0,1,2,0,1,55,11,0
41,6,10,1,5,5,1,0,48,11,0
22,6,9,1,5,0,0,1,40,11,0
46,6,10,0,7,2,1,1,40,11,1
61,1,10,0,11,2,0,1,40,11,0
30,6,9,1,0,5,0,1,40,11,0
42,6,9,0,0,2,1,1,55,11,1
63,6,6,0,9,2,1,1,40,11,0
26,6,10,0,1,2,1,1,40,11,0
42,6,6,4,4,3,1,0,40,11,0
23,6,10,0,10,2,1,1,40,11,0
25,6,9,1,5,3,1,1,40,11,0
30,6,5,0,10,2,1,1,32,27,1
23,6,9,1,1,0,1,1,40,11,0
34,4,11,1,12,5,1,1,60,11,1
30,6,9,0,5,1,1,1,48,11,0
39,6,10,0,6,2,1,1,40,11,1
30,6,7,1,9,1,1,1,38,2,0
38,3,10,4,4,3,1,0,38,11,0
26,6,9,4,0,0,1,0,40,11,0
20,6,10,1,9,0,1,1,16,11,0
33,6,9,0,4,0,1,0,40,11,0
24,6,13,1,4,0,1,1,40,11,0
42,2,13,0,0,2,1,1,60,11,1
51,4,9,0,1,2,2,1,84,4,0
56,3,12,0,2,2,1,1,45,11,1
22,6,10,1,9,0,1,1,40,11,0
52,4,10,0,12,2,1,1,60,11,0
44,6,13,4,0,3,1,0,45,11,1
34,6,9,0,4,4,1,0,35,11,0
51,6,10,4,6,5,1,1,42,11,1
19,6,10,1,1,5,1,0,25,11,0
37,6,13,0,0,2,1,1,40,11,1
68,6,9,0,5,2,0,1,40,11,1
22,6,10,4,7,5,1,1,40,11,0
56,2,13,0,0,2,1,1,40,11,0
37,6,9,0,6,2,1,1,40,11,0
52,6,2,0,5,2,1,1,40,9,0
26,6,9,6,9,0,1,1,40,2,0
33,6,14,0,3,2,1,1,50,11,0
45,3,14,4,3,3,1,0,42,11,0
18,6,7,1,10,0,1,1,15,11,0
43,4,10,0,12,2,1,1,60,11,1
18,6,9,1,9,0,1,1,20,11,0
57,6,9,0,6,2,1,1,40,11,1
41,6,9,4,4,3,1,0,42,11,0
34,6,14,0,0,2,1,1,50,11,1
19,6,9,1,1,3,1,0,40,11,0
44,6,5,4,10,3,1,0,55,33,0
56,6,6,2,10,3,1,0,40,11,0
36,2,9,0,12,2,1,1,80,11,0
48,6,13,4,0,3,1,0,48,11,0
29,6,9,0,11,2,1,1,40,11,1
33,6,13,1,6,5,1,1,40,11,0
31,6,3,0,10,2,1,1,40,9,0
39,6,14,0,3,2,1,1,45,11,1
66,6,9,0,0,2,1,1,40,11,1
27,6,13,1,3,5,1,0,50,11,1
39,6,9,4,0,3,0,0,40,11,1
59,6,4,0,6,2,1,1,50,11,1
26,6,9,1,10,0,1,0,40,11,0
31,6,11,4,6,3,1,1,40,11,0
23,6,9,1,9,0,1,1,30,11,0
36,3,9,4,4,3,1,0,40,11,0
34,6,10,0,10,4,1,0,12,11,1
32,6,9,0,11,2,1,1,84,11,1
37,6,13,0,3,2,0,1,50,11,1
33,6,13,1,1,5,1,1,45,11,0
50,4,15,0,3,2,1,1,80,11,1
32,1,12,1,7,5,0,1,40,11,0
35,6,13,1,4,0,0,0,40,11,0
37,6,7,0,6,2,1,1,40,11,0
44,6,10,4,6,5,1,1,60,11,0
57,6,10,4,9,1,1,1,25,11,0
29,3,10,0,0,0,1,0,40,11,0
55,6,9,0,6,2,1,1,50,11,1
43,2,15,0,3,2,1,1,25,11,1
43,6,10,0,1,2,1,1,70,11,0
45,4,10,0,1,2,1,1,60,11,1
33,4,14,0,3,4,1,0,8,11,0
26,6,6,4,10,3,1,0,40,39,0
23,6,10,0,1,2,1,1,68,11,0
41,6,4,6,6,5,1,1,40,9,0
24,6,9,0,6,2,1,1,40,11,0
47,4,13,0,1,2,1,1,44,11,0
34,4,9,1,6,0,1,1,45,11,0
40,6,9,0,0,2,1,1,40,11,1
28,6,13,0,3,4,2,0,40,11,0
24,6,9,1,0,0,2,0,40,18,0
23,6,9,1,6,1,1,1,15,11,0
43,4,9,0,0,2,0,1,40,11,1
26,6,13,4,2,5,1,0,40,11,0
58,4,16,3,0,4,1,0,35,11,1
52,6,9,2,4,3,0,0,35,11,0
29,6,7,0,11,2,1,1,99,11,1
47,6,7,0,10,2,1,1,35,1,0
49,6,9,4,4,3,0,0,37,11,0
40,6,7,2,4,3,1,0,40,11,0
62,4,9,0,4,4,1,0,40,11,0
49,6,9,0,0,2,1,1,55,11,1
50,6,13,4,3,1,1,0,50,11,1
31,6,9,1,11,0,0,1,40,11,0
48,3,14,1,3,5,1,0,50,11,0
24,6,9,1,6,3,1,0,40,11,0
37,6,9,6,5,0,2,1,60,11,0
45,6,13,0,0,2,2,1,45,6,1
36,6,14,0,0,2,2,1,45,13,0
45,6,13,0,0,2,1,1,40,11,0
41,6,13,1,1,5,1,0,40,11,0
26,6,12,1,2,1,1,0,20,11,0
17,6,7,1,1,0,1,0,25,11,0
43,6,9,0,5,2,1,1,65,11,0
35,6,9,1,11,0,1,1,55,11,0
38,6,13,4,4,3,1,0,40,11,0
26,6,9,1,5,5,1,1,40,11,0
28,6,10,1,0,0,1,0,40,11,0
38,6,13,0,3,4,1,0,24,11,1
36,6,7,4,11,3,1,0,40,11,0
33,6,9,0,4,4,1,0,40,11,1
19,6,9,1,9,0,1,1,70,11,0
42,1,6,0,4,2,1,1,40,9,0
50,6,6,0,11,2,1,1,40,11,1
30,6,9,0,9,2,1,1,30,11,0
37,0,10,0,3,1,2,1,40,29,0
54,2,15,0,3,2,1,1,40,11,1
52,2,13,1,0,5,1,1,40,11,0
33,6,9,4,6,5,1,0,40,11,0
25,6,10,1,2,1,1,1,40,11,0
24,6,13,1,1,5,1,1,45,11,0
26,6,11,6,4,3,0,0,40,11,0
39,6,9,6,4,5,1,1,40,11,1
59,6,9,4,10,5,1,0,40,11,0
29,6,10,1,4,3,1,0,40,11,0
47,6,7,1,10,0,1,0,45,11,0
64,2,9,0,11,2,1,1,50,11,0
21,6,9,1,10,0,3,1,20,11,0
32,6,10,0,4,4,0,0,40,11,1
26,6,9,1,0,5,0,0,37,11,0
62,4,14,0,3,2,1,1,40,11,0
32,6,13,0,6,2,1,1,55,11,1
45,4,9,0,0,2,1,1,60,11,0
31,6,13,0,0,2,1,1,50,11,1
32,6,9,0,4,2,1,1,40,11,0
24,6,13,0,1,2,1,1,40,11,0
25,6,13,1,1,0,1,0,40,11,0
41,4,9,0,0,2,1,1,60,11,0
18,6,10,1,1,0,1,0,20,11,0
44,6,16,0,3,2,1,1,55,11,1
40,6,10,0,0,2,1,1,50,11,0
27,6,13,1,3,5,1,1,40,11,0
23,6,13,1,4,0,1,1,40,11,0
21,6,10,1,4,5,3,1,40,11,0
37,0,9,0,11,2,1,1,40,11,0
65,4,9,0,12,2,1,1,48,11,0
43,1,14,0,3,2,1,1,40,11,1
45,6,9,1,4,5,1,1,44,11,0
24,0,13,1,0,5,1,0,40,11,0
24,6,10,1,5,5,1,1,42,11,0
19,3,10,1,7,0,1,1,35,11,0
37,6,13,0,3,2,1,1,65,11,1
24,6,9,1,4,0,1,0,35,11,0
34,6,10,0,5,2,1,1,40,39,0
50,0,9,0,10,4,1,0,39,11,0
36,6,9,0,6,2,1,1,40,2,0
39,6,13,0,1,2,1,1,60,11,0
44,4,4,0,6,2,1,1,38,11,0
45,0,9,0,10,2,1,1,40,11,0
32,0,7,1,7,0,1,1,40,11,0
47,1,14,0,0,2,0,1,40,11,1
50,6,9,0,5,2,1,1,40,11,0
32,6,11,0,10,2,1,1,40,11,0
19,6,9,1,9,0,1,1,40,11,0
28,6,9,4,1,1,1,1,50,11,0
39,1,14,1,3,5,1,1,40,36,1
21,6,10,1,10,5,1,1,40,11,0
73,4,10,2,12,5,1,0,75,11,0
39,6,4,0,10,2,1,1,40,9,0
25,6,10,1,5,5,1,1,40,11,0
31,6,10,3,1,4,1,0,20,11,0
51,6,10,4,1,5,1,0,32,11,0
39,6,13,0,4,4,1,0,28,11,0
31,6,13,4,9,0,1,1,40,11,0
21,6,10,1,1,0,0,1,17,11,0
46,6,13,4,0,5,1,1,50,11,1
73,6,9,4,0,5,1,0,35,11,0
41,6,9,4,6,5,1,1,40,11,0
20,6,9,1,11,0,1,1,40,11,0
27,6,12,1,10,5,1,1,30,11,0
24,6,13,1,3,5,1,1,35,11,0
20,6,10,0,6,2,1,1,40,11,0
39,6,11,1,5,0,1,1,40,11,0
27,6,13,1,9,5,1,1,28,11,0
33,6,7,0,1,2,1,1,60,11,0
33,6,9,0,9,2,4,1,40,11,0
36,0,5,0,6,2,0,1,40,11,0
55,6,10,0,0,2,1,1,36,11,0
19,6,10,1,5,0,1,1,40,11,0
35,6,9,1,0,5,1,1,60,11,0
34,6,3,1,5,1,2,1,40,23,0
62,0,15,4,3,5,1,0,35,11,0
33,4,10,0,6,2,1,1,40,11,1
39,6,5,0,6,2,1,1,55,9,0
36,3,10,0,2,2,1,1,40,11,0
41,6,13,4,4,3,1,0,33,11,0
39,4,9,0,6,2,1,1,60,11,0
18,6,9,1,4,0,1,0,10,11,0
61,6,10,0,0,2,1,1,45,11,1
20,1,11,1,4,0,1,0,36,11,0
35,4,9,0,11,2,1,1,65,11,1
27,6,9,1,5,0,1,1,40,11,0
66,6,6,2,10,3,1,0,38,11,0
21,6,9,1,11,1,0,1,40,11,0
20,6,10,1,10,0,1,0,18,11,0
34,6,10,4,4,0,1,1,40,11,0
31,6,9,6,2,5,1,0,40,11,0
41,6,16,0,3,2,1,1,60,11,0
64,0,2,0,12,2,3,1,45,1,0
32,6,13,1,0,5,1,0,40,11,0
30,3,9,0,11,2,1,1,50,11,1
36,4,13,0,12,2,1,1,72,11,0
22,6,10,1,12,0,1,1,12,11,0
53,3,10,0,0,2,1,1,50,11,0
50,6,9,2,4,5,4,0,40,11,0
36,6,13,0,0,2,1,1,40,11,0
41,2,7,0,0,2,1,1,40,11,0
55,6,13,1,0,5,1,0,35,11,0
38,6,13,0,1,2,1,1,50,11,1
28,6,13,1,0,5,0,1,50,11,0
24,3,13,1,3,0,1,0,37,11,0
60,6,10,4,4,1,1,0,40,11,0
54,6,6,0,10,2,0,1,40,11,0
27,2,9,0,6,2,1,1,60,11,0
30,6,14,0,3,4,1,0,30,11,0
54,6,9,2,11,5,1,1,45,11,0
44,6,10,0,6,2,1,1,40,11,1
52,6,9,0,11,2,1,1,60,11,1
18,6,7,1,10,0,1,1,20,11,0
55,6,4,0,11,2,1,1,50,11,0
35,6,13,0,3,2,1,1,50,11,1
37,6,13,4,0,5,1,0,40,11,1
22,6,10,1,4,0,1,0,40,11,0
45,6,13,0,0,2,1,1,45,24,1
38,6,13,0,12,2,1,1,60,11,0
48,6,13,0,3,2,1,1,40,11,0
35,6,11,0,10,2,1,1,40,11,0
21,6,11,0,6,1,1,1,50,11,0
37,4,9,0,6,2,2,1,60,30,1
18,6,7,1,1,0,1,1,25,11,0
26,6,6,4,5,0,1,1,35,11,0
48,2,13,0,6,2,1,1,50,11,0
51,6,10,6,4,5,0,1,40,11,1
52,6,10,0,6,2,1,1,40,11,0
32,0,13,0,12,2,1,1,40,11,1
39,4,13,0,10,2,1,1,60,11,0
51,6,13,0,3,2,1,1,40,11,1
54,6,13,0,1,2,1,1,50,11,0
21,6,10,1,3,5,1,0,25,11,0
43,6,9,6,4,3,0,0,40,11,0
32,6,10,1,4,0,1,0,40,11,0
31,0,14,0,3,2,1,1,35,11,1
26,6,10,1,4,1,2,1,60,13,0
35,6,9,1,6,5,1,1,40,11,0
73,6,3,0,0,2,1,1,54,11,1
25,4,13,1,1,5,1,0,40,11,0
58,4,11,0,12,2,1,1,65,11,0
32,6,9,6,10,0,1,0,37,11,0
28,6,13,0,3,2,1,1,40,11,0
41,4,14,1,1,5,1,0,30,11,0
53,4,9,0,6,2,1,1,48,11,0
49,6,9,6,4,3,1,0,35,11,0
55,6,13,0,3,2,1,1,40,11,1
29,6,10,0,4,4,1,0,50,11,1
28,4,11,0,12,2,1,1,80,11,0
44,6,9,0,6,2,1,1,45,11,0
41,6,14,0,0,2,1,1,45,11,1
26,6,11,0,1,2,1,1,45,11,1
23,6,9,0,1,2,1,1,40,11,1
37,4,13,0,3,4,1,0,40,39,1
23,6,13,1,3,0,1,1,50,11,1
33,6,10,1,10,3,0,0,40,11,0
44,6,9,1,6,0,1,1,40,11,1
21,6,10,1,7,0,1,1,30,11,0
36,6,7,0,0,2,1,1,40,12,0
44,3,13,0,4,2,1,1,40,11,0
23,6,9,1,10,3,0,0,40,11,0
26,6,9,4,0,0,1,1,40,11,0
32,6,3,1,10,5,1,1,40,9,0
31,6,10,0,9,2,1,1,40,11,1
50,3,9,6,0,3,0,0,35,11,0
18,2,10,1,4,0,1,0,20,11,0
49,6,13,0,0,2,1,1,50,11,1
59,6,9,4,10,5,1,0,40,11,0
38,6,9,6,5,3,0,0,28,11,0
50,2,10,0,1,2,1,1,55,11,0
51,2,10,0,6,2,1,1,55,11,0
22,6,10,1,5,0,2,1,35,11,0
54,6,9,0,5,4,1,0,40,11,1
37,6,9,1,11,5,1,1,40,11,0
31,6,13,2,4,3,1,1,60,11,0
67,0,13,0,0,2,1,1,40,11,0
21,6,10,1,0,1,1,0,40,11,0
30,6,9,1,4,5,1,0,40,11,0
32,3,10,0,7,2,1,1,50,12,0
36,6,11,1,6,0,2,1,40,11,0
33,3,13,1,4,5,0,1,40,11,0
37,6,9,0,6,2,1,1,56,11,0
29,6,15,0,3,2,1,1,48,11,1
26,6,10,1,1,5,0,1,40,26,0
51,6,4,0,3,2,1,1,40,11,0
39,6,9,0,5,2,1,1,40,9,0
18,6,9,1,10,5,1,1,30,11,0
52,6,8,0,5,2,1,1,40,11,0
31,6,10,0,12,2,1,1,40,9,0
45,6,13,0,0,2,1,1,53,11,1
38,6,10,0,5,2,1,1,38,11,0
21,6,12,1,1,5,1,0,35,11,0
33,6,9,6,9,5,1,1,40,11,0
39,6,10,4,6,3,1,1,40,11,0
31,6,9,0,5,2,1,1,40,11,0
43,6,13,0,0,2,1,1,50,11,1
33,2,13,0,0,2,1,1,45,11,1
49,4,9,0,12,2,1,1,60,11,0
41,6,9,0,5,2,1,1,40,11,0
55,4,10,4,5,5,1,1,40,11,0
52,6,10,4,4,5,0,0,37,11,0
42,6,13,4,3,5,0,1,40,11,0
24,6,10,1,4,0,1,0,30,11,0
42,6,9,5,4,5,1,1,52,11,0
41,0,13,0,0,2,1,1,40,11,1
35,6,9,0,5,2,1,1,40,9,0
54,1,14,4,0,5,1,1,42,11,1
24,6,3,1,9,1,1,1,40,9,0
57,1,13,0,0,4,1,0,40,11,1
58,0,14,0,0,2,1,1,40,11,1
32,6,9,1,10,3,0,1,40,11,0
22,6,9,1,1,0,1,0,25,11,0
20,6,9,4,10,3,1,0,25,11,0
26,3,9,1,4,0,0,0,20,24,0
33,6,7,0,6,2,1,1,40,11,0
19,6,6,1,1,3,1,0,40,11,0
50,4,9,0,10,4,1,0,20,11,1
32,6,9,0,1,2,1,1,40,11,0
51,3,13,0,11,2,0,1,40,11,1
18,6,10,1,1,0,2,0,20,11,0
35,1,14,0,0,2,1,1,50,11,1
46,6,9,4,6,5,1,1,55,11,0
37,6,9,4,1,3,1,1,45,11,0
45,6,10,0,4,4,1,0,20,11,1
63,6,5,0,9,2,1,1,32,11,0
53,6,9,1,10,1,2,1,10,30,0
24,6,9,1,4,0,0,0,40,11,0
47,6,9,0,5,2,1,1,40,11,0
41,6,9,1,0,3,1,0,40,11,0
27,6,9,4,5,5,1,1,40,11,0
35,2,9,0,0,2,0,1,75,11,0
19,6,10,1,4,0,1,0,24,11,0
47,6,10,6,10,5,1,0,35,11,0
25,1,13,1,4,3,0,0,40,11,0
59,3,15,0,0,2,1,1,40,11,1
28,6,6,1,5,3,1,0,40,11,0
17,6,6,1,1,0,1,0,20,11,0
21,6,10,1,0,0,2,1,50,24,0
31,6,9,4,1,3,3,0,40,9,0
49,6,9,4,9,5,1,0,40,11,0
48,3,14,0,3,2,1,1,50,11,1
60,4,16,4,1,5,1,1,20,11,0
33,4,8,1,11,5,1,1,40,11,0
40,6,9,0,6,2,1,1,40,11,0
42,6,10,0,6,2,1,1,52,11,0
34,6,9,0,11,2,1,1,40,11,0
38,1,11,4,4,0,0,1,52,11,0
58,4,10,0,0,2,1,1,70,11,1
